,mid,imdb_id,writer_ids,writer_names,writer_gender,num_of_female_writers,total_num_of_writers,all_female_writers
18,m18,tt0022626,['nm0728307'],['Robert Riskin'],['M'],0,1,False
19,m19,tt0244000,"['nm0853095', 'nm0736966']","['Roderick Taylor', 'John Rogers']","['M', 'M']",0,2,False
20,m20,tt0144084,"['nm0254735', 'nm0366004', 'nm0877587']","['Bret Easton Ellis', 'Mary Harron', 'Guinevere Turner']","['M', 'F', 'F']",2,3,False
21,m21,tt0218817,['nm0291442'],['Howard Franklin'],['M'],0,1,False
22,m22,tt0118655,['nm0000196'],['Mike Myers'],['M'],0,1,False
23,m23,tt0848228,"['nm0923736', 'nm0672015']","['Joss Whedon', 'Zak Penn']","['M', 'M']",0,2,False
24,m24,tt0086927,"['nm0411444', 'nm0411477', 'nm0698493']","['Bob Israel', 'Neal Israel', 'Pat Proft']","['M', 'M', 'M']",0,3,False
25,m25,tt0101393,['nm0927074'],['Gregory Widen'],['M'],0,1,False
26,m26,tt0103759,"['nm0526259', 'nm0001206']","['Zoë Lund', 'Abel Ferrara']","['F', 'M']",1,2,False
27,m27,tt0215545,['nm0000490'],['Spike Lee'],['M'],0,1,False
28,m28,tt0072684,"['nm0000040', 'nm0856842']","['Stanley Kubrick', 'William Makepeace Thackeray']","['M', 'M']",0,2,False
29,m29,tt0264395,['nm0888743'],['James Vanderbilt'],['M'],0,1,False
30,m30,tt0319061,"['nm1180620', 'nm0041864']","['Daniel Wallace', 'John August']","['M', 'M']",0,2,False
31,m31,tt0188453,"['nm0125358', 'nm0125336']","['Tom Butterworth', 'Jez Butterworth']","['M', 'M']",0,2,False
32,m32,tt0462200,['nm0108132'],['Craig Brewer'],['M'],0,1,False
33,m33,tt0096933,"['nm0093271', 'nm0507863']","['Craig Bolotin', 'Warren Lewis']","['M', 'M']",0,2,False
34,m34,tt0083658,"['nm0266684', 'nm0672459', 'nm0001140']","['Hampton Fancher', 'David Webb Peoples', 'Philip K. Dick']","['M', 'M', 'M']",0,3,False
35,m35,tt0124298,"['nm0446210', 'nm0933505']","['Bill Kelly', 'Hugh Wilson']","['M', 'M']",0,2,False
36,m36,tt0090756,['nm0000186'],['David Lynch'],['M'],0,1,False
37,m37,tt0144117,['nm0240627'],['Troy Duffy'],['M'],0,1,False
38,m38,tt0115734,"['nm0005562', 'nm0027572']","['Owen Wilson', 'Wes Anderson']","['M', 'M']",0,2,False
39,m39,tt0372183,"['nm0524924', 'nm0006904']","['Robert Ludlum', 'Tony Gilroy']","['M', 'M']",0,2,False
40,m40,tt0112573,['nm0908824'],['Randall Wallace'],['M'],0,1,False
41,m41,tt0289879,"['nm0344259', 'nm0107774']","['J. Mackye Gruber', 'Eric Bress']","['M', 'M']",0,2,False
42,m42,tt0034583,"['nm0258493', 'nm0258525', 'nm0462321', 'nm0122417', 'nm0019706', 'nm0732452']","['Julius J. Epstein', 'Philip G. Epstein', 'Howard Koch', 'Murray Burnett', 'Joan Alison', 'Casey Robinson']","['M', 'M', 'M', 'M', 'F', 'M']",1,6,False
43,m43,tt0162222,['nm0115310'],['William Broyles Jr.'],['M'],0,1,False
44,m44,tt0124315,['nm0410288'],['John Irving'],['M'],0,1,False
45,m45,tt0310910,['nm1136647'],['Doug Jung'],['M'],0,1,False
46,m46,tt0159382,['nm0562577'],['Paul Mayersberg'],['M'],0,1,False
47,m47,tt0069945,"['nm0000118', 'nm0639321']","['John Carpenter', ""Dan O'Bannon""]","['M', 'M']",0,2,False
48,m48,tt0099817,"['nm0878716', 'nm0462895']","['Jonathan Tydor', 'David Koepp']","['M', 'M']",0,2,False
49,m49,tt0165710,['nm0243463'],['Carl V. Dupré'],['M'],0,1,False
50,m50,tt0246578,['nm0446819'],['Richard Kelly'],['M'],0,1,False
51,m51,tt0157503,['nm0931185'],['Lona Williams'],['F'],1,1,True
52,m52,tt0023969,"['nm0436095', 'nm0748438', 'nm0790654', 'nm0674759']","['Bert Kalmar', 'Harry Ruby', 'Arthur Sheekman', 'Nat Perrin']","['M', 'M', 'M', 'M']",0,4,False
53,m53,tt0080678,"['nm0212246', 'nm0075015', 'nm0000186', 'nm0872375', 'nm0598744']","['Christopher De Vore', 'Eric Bergren', 'David Lynch', 'Frederick Treves', 'Ashley Montagu']","['M', 'M', 'M', 'M', 'M']",0,5,False
54,m54,tt0097289,['nm0001402'],['Terry Jones'],['M'],0,1,False
55,m55,tt0338013,"['nm0442109', 'nm0327273', 'nm1410028']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","['M', 'M', 'M']",0,3,False
56,m56,tt0106834,"['nm0730478', 'nm0001814']","['Tom Robbins', 'Gus Van Sant']","['M', 'M']",0,2,False
57,m57,tt0119081,['nm0252155'],['Philip Eisner'],['M'],0,1,False
58,m58,tt0120667,"['nm0004111', 'nm0289833', 'nm0498278', 'nm0456158']","['Mark Frost', 'Michael France', 'Stan Lee', 'Jack Kirby']","['M', 'M', 'M', 'M']",0,4,False
59,m59,tt0083929,['nm0001081'],['Cameron Crowe'],['M'],0,1,False
60,m60,tt0120669,"['nm0860219', 'nm0000416', 'nm0342617', 'nm0204000', 'nm0007182']","['Hunter S. Thompson', 'Terry Gilliam', 'Tony Grisoni', 'Tod Davies', 'Alex Cox']","['M', 'M', 'M', 'F', 'M']",1,5,False
61,m61,tt0426459,"['nm1733317', 'nm1729303']","['Patrick Melton', 'Marcus Dunstan']","['M', 'M']",0,2,False
62,m62,tt0083967,"['nm0075015', 'nm0212246', 'nm0443582']","['Eric Bergren', 'Christopher De Vore', 'Nicholas Kazan']","['M', 'M', 'M']",0,3,False
63,m63,tt0021884,"['nm0049721', 'nm0791217', 'nm0916811', 'nm0287124', 'nm0267020', 'nm0770337', 'nm0282984', 'nm0751246']","['John L. Balderston', 'Mary Shelley', 'Peggy Webling', 'Garrett Fort', 'Francis Edward Faragoh', 'Richard Schayer', 'Robert Florey', 'John Russell']","['M', 'F', 'F', 'M', 'M', 'M', 'M', 'M']",2,8,False
64,m64,tt0758746,"['nm0566699', 'nm1226735', 'nm1226737', 'nm1187126']","['Victor Miller', 'Damian Shannon', 'Mark Swift', 'Mark Wheaton']","['M', 'M', 'M', 'M']",0,4,False
65,m65,tt0116367,"['nm0476071', 'nm0000233']","['Robert Kurtzman', 'Quentin Tarantino']","['M', 'M']",0,2,False
66,m66,tt0119173,"['nm0018824', 'nm0878638']","['Danielle Alexandra', 'David Twohy']","['F', 'M']",1,2,False
67,m67,tt0120685,"['nm0002041', 'nm0000386', 'nm0254645', 'nm0744429']","['Dean Devlin', 'Roland Emmerich', 'Ted Elliott', 'Terry Rossio']","['M', 'M', 'M', 'M']",0,4,False
68,m68,tt0177789,"['nm0397232', 'nm0330565']","['David Howard', 'Robert Gordon']","['M', 'M']",0,2,False
69,m69,tt0262432,['nm0337773'],['David Gordon Green'],['M'],0,1,False
70,m70,tt0113161,"['nm0001465', 'nm0291082']","['Elmore Leonard', 'Scott Frank']","['M', 'M']",0,2,False
71,m71,tt0288477,"['nm0360144', 'nm0688282']","['Mark Hanlon', 'John Pogue']","['M', 'M']",0,2,False
72,m72,tt0162346,"['nm0167280', 'nm0959062']","['Daniel Clowes', 'Terry Zwigoff']","['M', 'M']",0,2,False
73,m73,tt0116409,['nm0001279'],['William Goldman'],['M'],0,1,False
74,m74,tt0097428,"['nm0000101', 'nm0000601']","['Dan Aykroyd', 'Harold Ramis']","['M', 'M']",0,2,False
75,m75,tt0087332,"['nm0000101', 'nm0000601', 'nm0001548']","['Dan Aykroyd', 'Harold Ramis', 'Rick Moranis']","['M', 'M', 'M']",0,3,False
76,m76,tt0172495,"['nm0291905', 'nm0517589', 'nm0629933']","['David Franzoni', 'John Logan', 'William Nicholson']","['M', 'M', 'M']",0,3,False
77,m77,tt0061722,"['nm0932229', 'nm0377750', 'nm0916047']","['Calder Willingham', 'Buck Henry', 'Charles Webb']","['M', 'M', 'M']",0,3,False
78,m78,tt0022958,"['nm0062139', 'nm0237033', 'nm0049462', 'nm0941138']","['Vicki Baum', 'William Absalom Drake', 'Béla Balázs', 'Edgar Allan Woolf']","['F', 'M', 'M', 'M']",1,4,False
79,m79,tt0099703,"['nm0860292', 'nm0922799']","['Jim Thompson', 'Donald E. Westlake']","['M', 'M']",0,2,False
80,m80,tt0120694,"['nm0384185', 'nm0000118', 'nm0002526', 'nm0338557']","['Debra Hill', 'John Carpenter', 'Robert Zappia', 'Matt Greenberg']","['F', 'M', 'M', 'M']",1,4,False
81,m81,tt0113253,"['nm0384185', 'nm0000118', 'nm0268107']","['Debra Hill', 'John Carpenter', 'Daniel Farrands']","['F', 'M', 'M']",1,3,False
82,m82,tt0067180,['nm0903361'],['Kurt Vonnegut Jr.'],['M'],0,1,False
83,m83,tt0079271,['nm0001707'],['Paul Schrader'],['M'],0,1,False
84,m84,tt0067185,['nm0383359'],['Colin Higgins'],['M'],0,1,False
85,m85,tt0095294,"['nm0040643', 'nm0000850']","['Peter Atkins', 'Clive Barker']","['M', 'M']",0,2,False
86,m86,tt0167190,"['nm0868219', 'nm1486009', 'nm0586005']","['Guillermo del Toro', 'Peter Briggs', 'Mike Mignola']","['M', 'M', 'M']",0,3,False
87,m87,tt0093177,['nm0000850'],['Clive Barker'],['M'],0,1,False
88,m88,tt0146882,"['nm0394984', 'nm0222584', 'nm0684336', 'nm0000131', 'nm0003298']","['Nick Hornby', 'D.V. DeVincentis', 'Steve Pink', 'John Cusack', 'Scott Rosenberg']","['M', 'M', 'M', 'M', 'M']",0,5,False
89,m89,tt0091203,"['nm0927074', 'nm0069282', 'nm0272511']","['Gregory Widen', 'Peter Bellwood', 'Larry Ferguson']","['M', 'M', 'M']",0,3,False
90,m90,tt0032599,"['nm0496468', 'nm0372942', 'nm0531269', 'nm0753452']","['Charles Lederer', 'Ben Hecht', 'Charles MacArthur', 'Morrie Ryskind']","['M', 'M', 'M', 'M']",0,4,False
91,m91,tt0093209,['nm0000958'],['John Boorman'],['M'],0,1,False
92,m92,tt0251736,['nm0957772'],['Rob Zombie'],['M'],0,1,False
93,m93,tt0219822,['nm0442109'],['Charlie Kaufman'],['M'],0,1,False
94,m94,tt0054997,"['nm0140987', 'nm0744035', 'nm0856677']","['Sidney Carroll', 'Robert Rossen', 'Walter Tevis']","['M', 'M', 'M']",0,3,False
95,m95,tt0480249,"['nm0698873', 'nm0326040', 'nm0558577', 'nm0181019', 'nm0181020']","['Mark Protosevich', 'Akiva Goldsman', 'Richard Matheson', 'John William Corrington', 'Joyce Hooper Corrington']","['M', 'M', 'M', 'M', 'F']",1,5,False
96,m96,tt0045917,"['nm0086701', 'nm0061510']","['Richard Blake', 'John Tucker Battle']","['M', 'M']",0,2,False
97,m97,tt0116629,"['nm0002041', 'nm0000386']","['Dean Devlin', 'Roland Emmerich']","['M', 'M']",0,2,False
98,m98,tt0097576,"['nm0090151', 'nm0000184', 'nm0583675', 'nm0442241']","['Jeffrey Boam', 'George Lucas', 'Menno Meyjes', 'Philip Kaufman']","['M', 'M', 'M', 'M']",0,4,False
99,m99,tt0087469,"['nm0404754', 'nm0441718', 'nm0000184']","['Willard Huyck', 'Gloria Katz', 'George Lucas']","['M', 'F', 'M']",1,3,False
100,m100,tt0093260,"['nm0698734', 'nm0090151']","['Chip Proser', 'Jeffrey Boam']","['M', 'M']",0,2,False
101,m101,tt0140352,"['nm0107493', 'nm0744839', 'nm0000520']","['Marie Brenner', 'Eric Roth', 'Michael Mann']","['F', 'M', 'M']",1,3,False
102,m102,tt0138524,"['nm0709070', 'nm0832043', 'nm0738908', 'nm0001053', 'nm0001054']","['Robert Ramsey', 'Matthew Stone', 'John Romano', 'Ethan Coen', 'Joel Coen']","['M', 'M', 'M', 'M', 'M']",0,5,False
103,m103,tt0025316,"['nm0728307', 'nm0011343']","['Robert Riskin', 'Samuel Hopkins Adams']","['M', 'M']",0,2,False
104,m104,tt0102138,"['nm0308426', 'nm0550285', 'nm0000231', 'nm0804466']","['Jim Garrison', 'Jim Marrs', 'Oliver Stone', 'Zachary Sklar']","['M', 'M', 'M', 'M']",0,4,False
105,m105,tt0119396,"['nm0000233', 'nm0001465']","['Quentin Tarantino', 'Elmore Leonard']","['M', 'M']",0,2,False
106,m106,tt0099871,['nm0748022'],['Bruce Joel Rubin'],['M'],0,1,False
107,m107,tt0211443,"['nm0566699', 'nm0267805']","['Victor Miller', 'Todd Farmer']","['M', 'M']",0,2,False
108,m108,tt0073195,"['nm0001940', 'nm0331956']","['Peter Benchley', 'Carl Gottlieb']","['M', 'M']",0,2,False
109,m109,tt0467406,['nm1959505'],['Diablo Cody'],['F'],1,1,True
110,m110,tt0107302,"['nm0506629', 'nm0582481']","['Stephen Levy', 'Tim Metcalfe']","['M', 'M']",0,2,False
111,m111,tt0113540,"['nm0005101', 'nm0164187']","['Harmony Korine', 'Larry Clark']","['M', 'M']",0,2,False
112,m112,tt0104627,['nm0592436'],['Brad Mirman'],['M'],0,1,False
113,m113,tt0085811,['nm0792589'],['Stanford Sherman'],['M'],0,1,False
114,m114,tt0110413,['nm0000108'],['Luc Besson'],['M'],0,1,False
115,m115,tt0159519,['nm0791551'],['Nina Shengold'],['F'],1,1,True
116,m116,tt0113627,"['nm3840714', 'nm0001214']","[""John O'Brien"", 'Mike Figgis']","['M', 'M']",0,2,False
117,m117,tt0250494,"['nm0113005', 'nm0527581', 'nm0809006']","['Amanda Brown', 'Karen McCullah', 'Kirsten Smith']","['F', 'F', 'F']",3,3,True
118,m118,tt0089469,['nm0387132'],['William Hjortsberg'],['M'],0,1,False
119,m119,tt0264796,['nm0029125'],['Mark Andrus'],['M'],0,1,False
120,m120,tt0289992,['nm1017488'],['Charles Randolph'],['M'],0,1,False
121,m121,tt0185431,"['nm0379056', 'nm0001191', 'nm0109359']","['Tim Herlihy', 'Adam Sandler', 'Steven Brill']","['M', 'M', 'M']",0,3,False
122,m122,tt0074812,"['nm0329051', 'nm0634368', 'nm0425138']","['David Zelag Goodman', 'William F. Nolan', 'George Clayton Johnson']","['M', 'M', 'M']",0,3,False
123,m123,tt0116922,"['nm0000186', 'nm0317510']","['David Lynch', 'Barry Gifford']","['M', 'M']",0,2,False
124,m124,tt0029162,"['nm0728307', 'nm0385264', 'nm0118227']","['Robert Riskin', 'James Hilton', 'Sidney Buchman']","['M', 'M', 'M']",0,3,False
125,m125,tt0119654,"['nm0192384', 'nm0004412']","['Lowell Cunningham', 'Ed Solomon']","['M', 'M']",0,2,False
126,m126,tt0181689,"['nm0001140', 'nm0291082', 'nm0169509']","['Philip K. Dick', 'Scott Frank', 'Jon Cohen']","['M', 'M', 'M']",0,3,False
127,m127,tt0227005,['nm0269463'],['Jon Favreau'],['M'],0,1,False
128,m128,tt0104797,"['nm0355077', 'nm0944318', 'nm0674135', 'nm0000490']","['Alex Haley', 'Malcolm X', 'Arnold Perl', 'Spike Lee']","['M', 'M', 'M', 'M']",0,4,False
129,m129,tt0328107,"['nm0704031', 'nm0001338']","['A.J. Quinnell', 'Brian Helgeland']","['M', 'M']",0,2,False
130,m130,tt0048356,['nm0154665'],['Paddy Chayefsky'],['M'],0,1,False
131,m131,tt0066026,"['nm0393645', 'nm0488057']","['Richard Hooker', 'Ring Lardner Jr.']","['M', 'M']",0,2,False
132,m132,tt0033891,"['nm0175028', 'nm0696190', 'nm0728307', 'nm0175333']","['Richard Connell', 'Robert Presnell Sr.', 'Robert Riskin', 'Myles Connolly']","['M', 'M', 'M', 'M']",0,4,False
133,m133,tt0119664,['nm0271098'],['Randy Feldman'],['M'],0,1,False
134,m134,tt0017136,"['nm0902376', 'nm0000485']","['Thea von Harbou', 'Fritz Lang']","['F', 'M']",1,2,False
135,m136,tt0102460,"['nm0536893', 'nm0443582']","['Michael Mahern', 'Nicholas Kazan']","['M', 'M']",0,2,False
136,m137,tt0166276,"['nm0085718', 'nm0358334']","['Kaja Blackley', 'Sam Hamm']","['M', 'M']",0,2,False
137,m138,tt0177023,['nm0681914'],['Rex Pickett'],['M'],0,1,False
138,m139,tt0031679,"['nm0118227', 'nm0287931', 'nm0175333']","['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']","['M', 'M', 'M']",0,3,False
139,m140,tt0027996,"['nm0728307', 'nm0445502']","['Robert Riskin', 'Clarence Budington Kelland']","['M', 'M']",0,2,False
140,m141,tt0140397,['nm0001410'],['Lawrence Kasdan'],['M'],0,1,False
141,m142,tt0120616,"['nm0814085', 'nm0285126', 'nm0418883', 'nm0049721', 'nm0701233', 'nm0770337']","['Stephen Sommers', 'Lloyd Fonvielle', 'Kevin Jarre', 'John L. Balderston', 'Nina Wilcox Putnam', 'Richard Schayer']","['M', 'M', 'M', 'M', 'F', 'M']",1,6,False
142,m143,tt0132347,"['nm0193854', 'nm0120918']","['Neil Cuthbert', 'Bob Burden']","['M', 'M']",0,2,False
143,m144,tt0113932,"['nm0099755', 'nm0028196', 'nm0759166', 'nm0817389', 'nm0578771']","['Michael Bourchier', 'Mario Andreacchio', 'Mark Saltzman', 'Steve J. Spears', 'Ivan Menchell']","['M', 'M', 'M', 'M', 'M']",0,5,False
144,m145,tt0195945,"['nm0001084', 'nm0690770']","['Ice Cube', 'DJ Pooh']","['M', 'M']",0,2,False
145,m146,tt0113972,['nm0242059'],['Patrick Sheane Duncan'],['M'],0,1,False
146,m147,tt0048424,"['nm0344181', 'nm0012938', 'nm0001452']","['Davis Grubb', 'James Agee', 'Charles Laughton']","['M', 'M', 'M']",0,3,False
147,m148,tt0087800,['nm0000127'],['Wes Craven'],['M'],0,1,False
148,m149,tt0031725,"['nm0102818', 'nm0000697', 'nm0281556', 'nm0501872']","['Charles Brackett', 'Billy Wilder', 'Walter Reisch', 'Melchior Lengyel']","['M', 'M', 'M', 'M']",0,4,False
149,m150,tt0113987,"['nm0729151', 'nm0929349', 'nm0000231']","['Stephen J. Rivele', 'Christopher Wilkinson', 'Oliver Stone']","['M', 'M', 'M']",0,3,False
150,m151,tt0477348,"['nm0001054', 'nm0001053', 'nm0565092']","['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","['M', 'M', 'M']",0,3,False
151,m152,tt0171580,"['nm0724167', 'nm0280963']","['John C. Richards', 'James Flamberg']","['M', 'M']",0,2,False
152,m153,tt0190590,"['nm0392955', 'nm0001053', 'nm0001054']","['Homer', 'Ethan Coen', 'Joel Coen']","['M', 'M', 'M']",0,3,False
153,m154,tt0084434,['nm0829343'],['Douglas Day Stewart'],['M'],0,1,False
154,m155,tt0258000,['nm0462895'],['David Koepp'],['M'],0,1,False
155,m156,tt0114084,['nm0887708'],['Melvin Van Peebles'],['M'],0,1,False
156,m157,tt0187393,['nm0734441'],['Robert Rodat'],['M'],0,1,False
157,m158,tt0098084,['nm0000175'],['Stephen King'],['M'],0,1,False
158,m159,tt0325980,"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684']","['Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert']","['M', 'M', 'M', 'M']",0,4,False
159,m160,tt0200365,['nm0611555'],['Robin Mukherjee'],['M'],0,1,False
160,m161,tt0022268,"['nm0151310', 'nm0161428', 'nm0728307', 'nm0842485']","['Harry Chandlee', 'Douglas W. Churchill', 'Robert Riskin', 'Jo Swerling']","['M', 'M', 'M', 'M']",0,4,False
161,m162,tt0120789,['nm0002657'],['Gary Ross'],['M'],0,1,False
162,m163,tt0272338,['nm0000759'],['Paul Thomas Anderson'],['M'],0,1,False
163,m164,tt0180073,['nm0942354'],['Doug Wright'],['M'],0,1,False
164,m165,tt0120801,"['nm0517589', 'nm0186193', 'nm0502072']","['John Logan', 'Richard Ben Cramer', 'Thomas Lennon']","['M', 'M', 'M']",0,3,False
165,m166,tt0081398,"['nm0483766', 'nm0141734', 'nm0678014', 'nm0001707', 'nm0552731']","['Jake LaMotta', 'Joseph Carter', 'Peter Savage', 'Paul Schrader', 'Mardik Martin']","['M', 'M', 'M', 'M', 'M']",0,5,False
166,m167,tt0047396,"['nm0371088', 'nm0941280']","['John Michael Hayes', 'Cornell Woolrich']","['M', 'M']",0,2,False
167,m168,tt0048545,"['nm0827856', 'nm0795730', 'nm0712947']","['Stewart Stern', 'Irving Shulman', 'Nicholas Ray']","['M', 'M', 'M']",0,3,False
168,m169,tt0184858,['nm0472567'],['Ehren Kruger'],['M'],0,1,False
169,m170,tt0105236,"['nm0000233', 'nm0000812']","['Quentin Tarantino', 'Roger Avary']","['M', 'M']",0,2,False
170,m171,tt0041827,"['nm0537784', 'nm0124947', 'nm0896830']","['Daniel Mainwaring', 'Hugo Butler', 'Peter Viertel']","['M', 'M', 'M']",0,3,False
171,m172,tt0257106,"['nm0915465', 'nm0005541', 'nm0424688', 'nm0064556', 'nm0294997', 'nm0783536', 'nm1010379', 'nm0333240', 'nm0689844', 'nm0811360', 'nm0915460']","['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Alyson Fouse', 'Greg Grabianski', 'Dave Polsky', 'Michael Anthony Snowden', 'Craig Wayans']","['M', 'M', 'M', 'M', 'M', 'M', 'F', 'M', 'M', 'M', 'M']",1,11,False
172,m173,tt0111127,['nm0000691'],['John Waters'],['M'],0,1,False
173,m174,tt0036341,"['nm0641885', 'nm0090840']","[""Charles O'Neal"", 'DeWitt Bodeen']","['M', 'M']",0,2,False
174,m175,tt0098724,['nm0001752'],['Steven Soderbergh'],['M'],0,1,False
175,m176,tt0073705,['nm0000343'],['David Cronenberg'],['M'],0,1,False
176,m177,tt0083067,"['nm0639782', 'nm0788940']","[""Richard O'Brien"", 'Jim Sharman']","['M', 'M']",0,2,False
177,m178,tt0375063,"['nm0681914', 'nm0668247', 'nm0852591']","['Rex Pickett', 'Alexander Payne', 'Jim Taylor']","['M', 'M', 'M']",0,3,False
178,m179,tt0286106,['nm0796117'],['M. Night Shyamalan'],['M'],0,1,False
179,m180,tt0090022,"['nm0001410', 'nm0440461']","['Lawrence Kasdan', 'Mark Kasdan']","['M', 'M']",0,2,False
180,m181,tt1626229,['nm0497281'],['Frazer Lee'],['M'],0,1,False
181,m182,tt0167404,['nm0796117'],['M. Night Shyamalan'],['M'],0,1,False
182,m183,tt0301848,"['nm1181226', 'nm1100142']","['Stephen Ronald Francis', 'Gus Silber']","['M', 'M']",0,2,False
183,m184,tt0439815,['nm0348181'],['James Gunn'],['M'],0,1,False
184,m185,tt0076729,"['nm0624102', 'nm0506597', 'nm0057157', 'nm0796124', 'nm0541629']","['Hal Needham', 'Robert L. Levy', 'James Lee Barrett', 'Charles Shyer', 'Alan Mandel']","['M', 'M', 'M', 'M', 'M']",0,5,False
185,m186,tt0475394,['nm0138620'],['Joe Carnahan'],['M'],0,1,False
186,m187,tt0307479,"['nm0501015', 'nm0001752']","['Stanislaw Lem', 'Steven Soderbergh']","['M', 'M']",0,2,False
187,m188,tt0094008,"['nm0291442', 'nm0045301', 'nm0783544']","['Howard Franklin', 'Danilo Bach', 'David Seltzer']","['M', 'M', 'M']",0,3,False
188,m189,tt0145487,"['nm0498278', 'nm0228492', 'nm0462895']","['Stan Lee', 'Steve Ditko', 'David Koepp']","['M', 'M', 'M']",0,3,False
189,m190,tt0046359,"['nm0000697', 'nm0089637', 'nm0079654', 'nm0874522']","['Billy Wilder', 'Edwin Blum', 'Donald Bevan', 'Edmund Trzcinski']","['M', 'M', 'M', 'M']",0,4,False
190,m191,tt0111280,"['nm0734472', 'nm0075834', 'nm0601822', 'nm0103804']","['Gene Roddenberry', 'Rick Berman', 'Ronald D. Moore', 'Brannon Braga']","['M', 'M', 'M', 'M']",0,4,False
191,m192,tt0088170,"['nm0734472', 'nm0071790']","['Gene Roddenberry', 'Harve Bennett']","['M', 'M']",0,2,False
192,m193,tt0084726,"['nm0734472', 'nm0071790', 'nm0816348', 'nm0583292', 'nm0670268']","['Gene Roddenberry', 'Harve Bennett', 'Jack B. Sowards', 'Nicholas Meyer', 'Samuel A. Peeples']","['M', 'M', 'M', 'M', 'M']",0,5,False
193,m194,tt0092007,"['nm0734472', 'nm0000559', 'nm0071790', 'nm0576228', 'nm0471298', 'nm0583292']","['Gene Roddenberry', 'Leonard Nimoy', 'Harve Bennett', 'Steve Meerson', 'Peter Krikes', 'Nicholas Meyer']","['M', 'M', 'M', 'M', 'M', 'M']",0,6,False
194,m195,tt0120844,"['nm0734472', 'nm0075834', 'nm0683522']","['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['M', 'M', 'M']",0,3,False
195,m196,tt0117731,"['nm0734472', 'nm0075834', 'nm0103804', 'nm0601822']","['Gene Roddenberry', 'Rick Berman', 'Brannon Braga', 'Ronald D. Moore']","['M', 'M', 'M', 'M']",0,4,False
