,mid,imdb_id,writer_ids,writer_names,writer_gender
427,m142,tt0120616,"['nm0814085', 'nm0285126', 'nm0418883', 'nm0049721', 'nm0701233', 'nm0770337']","['Stephen Sommers', 'Lloyd Fonvielle', 'Kevin Jarre', 'John L. Balderston', 'Nina Wilcox Putnam', 'Richard Schayer']","M,M,M,M,F,M"
236,m143,tt0132347,"['nm0193854', 'nm0120918']","['Neil Cuthbert', 'Bob Burden']","M,M"
417,m144,tt0113932,"['nm0099755', 'nm0028196', 'nm0759166', 'nm0817389', 'nm0578771']","['Michael Bourchier', 'Mario Andreacchio', 'Mark Saltzman', 'Steve J. Spears', 'Ivan Menchell']","M,M,M,M,M"
27,m145,tt0195945,"['nm0001084', 'nm0690770']","['Ice Cube', 'DJ Pooh']","M,M"
520,m146,tt0113972,['nm0242059'],['Patrick Sheane Duncan'],M
329,m147,tt0048424,"['nm0344181', 'nm0012938', 'nm0001452']","['Davis Grubb', 'James Agee', 'Charles Laughton']","M,M,M"
150,m148,tt0087800,['nm0000127'],['Wes Craven'],M
278,m149,tt0031725,"['nm0102818', 'nm0000697', 'nm0281556', 'nm0501872']","['Charles Brackett', 'Billy Wilder', 'Walter Reisch', 'Melchior Lengyel']","M,M,M,M"
89,m150,tt0113987,"['nm0729151', 'nm0929349', 'nm0000231']","['Stephen J. Rivele', 'Christopher Wilkinson', 'Oliver Stone']","M,M,M"
251,m151,tt0477348,"['nm0001054', 'nm0001053', 'nm0565092']","['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","M,M,M"
72,m152,tt0171580,"['nm0724167', 'nm0280963']","['John C. Richards', 'James Flamberg']","M,M"
592,m153,tt0190590,"['nm0392955', 'nm0001053', 'nm0001054']","['Homer', 'Ethan Coen', 'Joel Coen']","M,M,M"
95,m154,tt0084434,['nm0829343'],['Douglas Day Stewart'],M
255,m155,tt0258000,['nm0462895'],['David Koepp'],M
54,m156,tt0114084,['nm0887708'],['Melvin Van Peebles'],M
570,m157,tt0187393,['nm0734441'],['Robert Rodat'],M
313,m158,tt0098084,['nm0000175'],['Stephen King'],M
231,m159,tt0325980,"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684']","['Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert']","M,M,M,M"
540,m160,tt0200365,['nm0611555'],['Robin Mukherjee'],M
133,m161,tt0022268,"['nm0151310', 'nm0161428', 'nm0728307', 'nm0842485']","['Harry Chandlee', 'Douglas W. Churchill', 'Robert Riskin', 'Jo Swerling']","M,M,M,M"
461,m162,tt0120789,['nm0002657'],['Gary Ross'],M
197,m163,tt0272338,['nm0000759'],['Paul Thomas Anderson'],M
380,m164,tt0180073,['nm0942354'],['Doug Wright'],M
449,m165,tt0120801,"['nm0517589', 'nm0186193', 'nm0502072']","['John Logan', 'Richard Ben Cramer', 'Thomas Lennon']","M,M,M"
320,m166,tt0081398,"['nm0483766', 'nm0141734', 'nm0678014', 'nm0001707', 'nm0552731']","['Jake LaMotta', 'Joseph Carter', 'Peter Savage', 'Paul Schrader', 'Mardik Martin']","M,M,M,M,M"
265,m167,tt0047396,"['nm0371088', 'nm0941280']","['John Michael Hayes', 'Cornell Woolrich']","M,M"
280,m168,tt0048545,"['nm0827856', 'nm0795730', 'nm0712947']","['Stewart Stern', 'Irving Shulman', 'Nicholas Ray']","M,M,M"
244,m169,tt0184858,['nm0472567'],['Ehren Kruger'],M
369,m170,tt0105236,"['nm0000233', 'nm0000812']","['Quentin Tarantino', 'Roger Avary']","M,M"
433,m171,tt0041827,"['nm0537784', 'nm0124947', 'nm0896830']","['Daniel Mainwaring', 'Hugo Butler', 'Peter Viertel']","M,M,M"
276,m172,tt0257106,"['nm0915465', 'nm0005541', 'nm0424688', 'nm0064556', 'nm0294997', 'nm0783536', 'nm1010379', 'nm0333240', 'nm0689844', 'nm0811360', 'nm0915460']","['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Alyson Fouse', 'Greg Grabianski', 'Dave Polsky', 'Michael Anthony Snowden', 'Craig Wayans']","M,M,M,M,M,M,F,M,M,M,M"
526,m173,tt0111127,['nm0000691'],['John Waters'],M
339,m174,tt0036341,"['nm0641885', 'nm0090840']","[""Charles O'Neal"", 'DeWitt Bodeen']","M,M"
218,m175,tt0098724,['nm0001752'],['Steven Soderbergh'],M
273,m176,tt0073705,['nm0000343'],['David Cronenberg'],M
591,m177,tt0083067,"['nm0639782', 'nm0788940']","[""Richard O'Brien"", 'Jim Sharman']","M,M"
119,m178,tt0375063,"['nm0681914', 'nm0668247', 'nm0852591']","['Rex Pickett', 'Alexander Payne', 'Jim Taylor']","M,M,M"
359,m179,tt0286106,['nm0796117'],['M. Night Shyamalan'],M
565,m180,tt0090022,"['nm0001410', 'nm0440461']","['Lawrence Kasdan', 'Mark Kasdan']","M,M"
378,m181,tt1626229,['nm0497281'],['Frazer Lee'],M
293,m182,tt0167404,['nm0796117'],['M. Night Shyamalan'],M
454,m183,tt0301848,"['nm1181226', 'nm1100142']","['Stephen Ronald Francis', 'Gus Silber']","M,M"
18,m184,tt0439815,['nm0348181'],['James Gunn'],M
425,m185,tt0076729,"['nm0624102', 'nm0506597', 'nm0057157', 'nm0796124', 'nm0541629']","['Hal Needham', 'Robert L. Levy', 'James Lee Barrett', 'Charles Shyer', 'Alan Mandel']","M,M,M,M,M"
238,m186,tt0475394,['nm0138620'],['Joe Carnahan'],M
463,m187,tt0307479,"['nm0501015', 'nm0001752']","['Stanislaw Lem', 'Steven Soderbergh']","M,M"
118,m188,tt0094008,"['nm0291442', 'nm0045301', 'nm0783544']","['Howard Franklin', 'Danilo Bach', 'David Seltzer']","M,M,M"
213,m189,tt0145487,"['nm0498278', 'nm0228492', 'nm0462895']","['Stan Lee', 'Steve Ditko', 'David Koepp']","M,M,M"
467,m190,tt0046359,"['nm0000697', 'nm0089637', 'nm0079654', 'nm0874522']","['Billy Wilder', 'Edwin Blum', 'Donald Bevan', 'Edmund Trzcinski']","M,M,M,M"
298,m191,tt0111280,"['nm0734472', 'nm0075834', 'nm0601822', 'nm0103804']","['Gene Roddenberry', 'Rick Berman', 'Ronald D. Moore', 'Brannon Braga']","M,M,M,M"
104,m192,tt0088170,"['nm0734472', 'nm0071790']","['Gene Roddenberry', 'Harve Bennett']","M,M"
292,m193,tt0084726,"['nm0734472', 'nm0071790', 'nm0816348', 'nm0583292', 'nm0670268']","['Gene Roddenberry', 'Harve Bennett', 'Jack B. Sowards', 'Nicholas Meyer', 'Samuel A. Peeples']","M,M,M,M,M"
302,m194,tt0092007,"['nm0734472', 'nm0000559', 'nm0071790', 'nm0576228', 'nm0471298', 'nm0583292']","['Gene Roddenberry', 'Leonard Nimoy', 'Harve Bennett', 'Steve Meerson', 'Peter Krikes', 'Nicholas Meyer']","M,M,M,M,M,M"
426,m195,tt0120844,"['nm0734472', 'nm0075834', 'nm0683522']","['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","M,M,M"
87,m196,tt0117731,"['nm0734472', 'nm0075834', 'nm0103804', 'nm0601822']","['Gene Roddenberry', 'Rick Berman', 'Brannon Braga', 'Ronald D. Moore']","M,M,M,M"
373,m197,tt0102975,"['nm0734472', 'nm0000559', 'nm0465199', 'nm0742797', 'nm0583292', 'nm0282364']","['Gene Roddenberry', 'Leonard Nimoy', 'Lawrence Konner', 'Mark Rosenthal', 'Nicholas Meyer', 'Denny Martin Flinn']","M,M,M,M,M,M"
541,m198,tt0253754,"['nm0734472', 'nm0517589', 'nm0075834', 'nm0000653']","['Gene Roddenberry', 'John Logan', 'Rick Berman', 'Brent Spiner']","M,M,M,M"
42,m199,tt0088172,"['nm0262595', 'nm0317279', 'nm0718466']","['Bruce A. Evans', 'Raynold Gideon', 'Dean Riesner']","M,M,M"
330,m200,tt0114558,"['nm0000116', 'nm0168379']","['James Cameron', 'Jay Cocks']","M,M"
435,m201,tt0324127,"['nm0672015', 'nm0712753']","['Zak Penn', 'Billy Ray']","M,M"
527,m202,tt0117802,['nm0269463'],['Jon Favreau'],M
475,m203,tt0068646,"['nm0701374', 'nm0000338']","['Mario Puzo', 'Francis Ford Coppola']","M,M"
144,m204,tt0134119,"['nm0383604', 'nm0005237']","['Patricia Highsmith', 'Anthony Minghella']","F,M"
93,m205,tt0075314,['nm0001707'],['Paul Schrader'],M
254,m206,tt0117500,"['nm0918711', 'nm0177018', 'nm0743119']","['David Weisberg', 'Douglas Cook', 'Mark Rosner']","M,M,M"
139,m207,tt0268995,['nm0007136'],['Michael Sloane'],M
457,m208,tt0056869,"['nm0238898', 'nm0402805']","['Daphne Du Maurier', 'Evan Hunter']","F,M"
166,m209,tt0037549,"['nm0829044', 'nm0531878', 'nm0507932']","['Robert Louis Stevenson', 'Philip MacDonald', 'Val Lewton']","M,M,M"
538,m210,tt0132910,"['nm0639335', 'nm0423715']","[""James O'Barr"", 'Chip Johannessen']","M,M"
92,m211,tt0043456,"['nm0636002', 'nm0060915']","['Edmund H. North', 'Harry Bates']","M,M"
60,m212,tt0093437,"['nm0278969', 'nm0421894', 'nm0090151']","['Jan Fischer', 'James Jeremias', 'Jeffrey Boam']","F,M,M"
492,m213,tt0084787,"['nm0484111', 'nm0132168']","['Bill Lancaster', 'John W. Campbell Jr.']","M,M"
45,m214,tt0268695,"['nm0920229', 'nm0241949', 'nm0517589']","['H.G. Wells', 'David Duncan', 'John Logan']","M,M,M"
109,m215,tt0366627,"['nm1789514', 'nm0733692', 'nm1127653']","['Tom Bleecker', 'Marc Rocco', 'Massy Tadjedin']","M,M,F"
21,m216,tt0103074,['nm0451884'],['Callie Khouri'],F
413,m217,tt0129387,"['nm0214036', 'nm0833828', 'nm0268380', 'nm0125803']","['Ed Decter', 'John J. Strauss', 'Peter Farrelly', 'Bobby Farrelly']","M,M,M,M"
553,m218,tt0146309,"['nm0783100', 'nm0561943', 'nm0954546']","['David Self', 'Ernest R. May', 'Philip D. Zelikow']","M,M,M"
189,m219,tt0105585,['nm0299301'],['John Fusco'],M
447,m220,tt0092099,"['nm0143596', 'nm0258390', 'nm1274594', 'nm0803730']","['Jim Cash', 'Jack Epps Jr.', 'Ehud Yonay', 'Warren Skaaren']","M,M,M,M"
408,m221,tt0100802,"['nm0001140', 'nm0795953', 'nm0639321', 'nm0693956', 'nm0325778']","['Philip K. Dick', 'Ronald Shusett', ""Dan O'Bannon"", 'Jon Povill', 'Gary Goldman']","M,M,M,M,M"
111,m222,tt0100814,"['nm0934093', 'nm0534681', 'nm0881038']","['S.S. Wilson', 'Brent Maddock', 'Ron Underwood']","M,M,M"
108,m223,tt0098524,['nm0834338'],['Wesley Strick'],M
13,m224,tt0105665,"['nm0000186', 'nm0257306', 'nm0004111']","['David Lynch', 'Robert Engels', 'Mark Frost']","M,M,M"
127,m225,tt0084855,"['nm0715312', 'nm0000519', 'nm0696319']","['Barry Reed', 'David Mamet', 'Jay Presson Allen']","M,M,M"
521,m226,tt0046534,"['nm0920229', 'nm0528530']","['H.G. Wells', 'Barré Lyndon']","M,M"
505,m227,tt0111686,['nm0000127'],['Wes Craven'],M
363,m228,tt0118158,"['nm0317335', 'nm0840307', 'nm0733149']","['Charles Gieg Jr.', 'Felix Sutton', 'Todd Robinson']","M,M,M"
394,m229,tt0100935,"['nm0317510', 'nm0000186']","['Barry Gifford', 'David Lynch']","M,M"
